row_id,family,decade_exponent,n,p_n
dense_local_window__k15__middle__offset+0,dense_local_window,15,500000000000000,18205684894350047
dense_local_window__k15__middle__offset+1,dense_local_window,15,500000000000001,18205684894350049
dense_local_window__k15__middle__offset+2,dense_local_window,15,500000000000002,18205684894350071
dense_local_window__k15__middle__offset+3,dense_local_window,15,500000000000003,18205684894350073
dense_local_window__k15__middle__offset+4,dense_local_window,15,500000000000004,18205684894350137
dense_local_window__k15__middle__offset+5,dense_local_window,15,500000000000005,18205684894350169
dense_local_window__k15__middle__offset+6,dense_local_window,15,500000000000006,18205684894350179
dense_local_window__k15__middle__offset+7,dense_local_window,15,500000000000007,18205684894350199
dense_local_window__k15__middle__offset+8,dense_local_window,15,500000000000008,18205684894350241
dense_local_window__k15__middle__offset+9,dense_local_window,15,500000000000009,18205684894350257
dense_local_window__k15__middle__offset+10,dense_local_window,15,500000000000010,18205684894350269
dense_local_window__k15__middle__offset+11,dense_local_window,15,500000000000011,18205684894350353
dense_local_window__k15__middle__offset+12,dense_local_window,15,500000000000012,18205684894350413
dense_local_window__k15__middle__offset+13,dense_local_window,15,500000000000013,18205684894350493
dense_local_window__k15__middle__offset+14,dense_local_window,15,500000000000014,18205684894350553
dense_local_window__k15__middle__offset+15,dense_local_window,15,500000000000015,18205684894350581
dense_local_window__k15__middle__offset+16,dense_local_window,15,500000000000016,18205684894350607
dense_local_window__k15__middle__offset+17,dense_local_window,15,500000000000017,18205684894350623
dense_local_window__k15__middle__offset+18,dense_local_window,15,500000000000018,18205684894350671
dense_local_window__k15__middle__offset+19,dense_local_window,15,500000000000019,18205684894350673
dense_local_window__k15__middle__offset+20,dense_local_window,15,500000000000020,18205684894350677
dense_local_window__k15__middle__offset+21,dense_local_window,15,500000000000021,18205684894350743
dense_local_window__k15__middle__offset+22,dense_local_window,15,500000000000022,18205684894350799
dense_local_window__k15__middle__offset+23,dense_local_window,15,500000000000023,18205684894350827
dense_local_window__k15__middle__offset+24,dense_local_window,15,500000000000024,18205684894350881
dense_local_window__k15__middle__offset+25,dense_local_window,15,500000000000025,18205684894350887
dense_local_window__k15__middle__offset+26,dense_local_window,15,500000000000026,18205684894350923
dense_local_window__k15__middle__offset+27,dense_local_window,15,500000000000027,18205684894350979
dense_local_window__k15__middle__offset+28,dense_local_window,15,500000000000028,18205684894351007
dense_local_window__k15__middle__offset+29,dense_local_window,15,500000000000029,18205684894351037
dense_local_window__k15__middle__offset+30,dense_local_window,15,500000000000030,18205684894351057
dense_local_window__k15__middle__offset+31,dense_local_window,15,500000000000031,18205684894351079
dense_local_window__k15__middle__offset+32,dense_local_window,15,500000000000032,18205684894351211
dense_local_window__k15__middle__offset+33,dense_local_window,15,500000000000033,18205684894351217
dense_local_window__k15__middle__offset+34,dense_local_window,15,500000000000034,18205684894351219
dense_local_window__k15__middle__offset+35,dense_local_window,15,500000000000035,18205684894351237
dense_local_window__k15__middle__offset+36,dense_local_window,15,500000000000036,18205684894351303
dense_local_window__k15__middle__offset+37,dense_local_window,15,500000000000037,18205684894351319
dense_local_window__k15__middle__offset+38,dense_local_window,15,500000000000038,18205684894351343
dense_local_window__k15__middle__offset+39,dense_local_window,15,500000000000039,18205684894351391
dense_local_window__k15__middle__offset+40,dense_local_window,15,500000000000040,18205684894351403
dense_local_window__k15__middle__offset+41,dense_local_window,15,500000000000041,18205684894351433
dense_local_window__k15__middle__offset+42,dense_local_window,15,500000000000042,18205684894351459
dense_local_window__k15__middle__offset+43,dense_local_window,15,500000000000043,18205684894351469
dense_local_window__k15__middle__offset+44,dense_local_window,15,500000000000044,18205684894351477
dense_local_window__k15__middle__offset+45,dense_local_window,15,500000000000045,18205684894351543
dense_local_window__k15__middle__offset+46,dense_local_window,15,500000000000046,18205684894351573
dense_local_window__k15__middle__offset+47,dense_local_window,15,500000000000047,18205684894351589
dense_local_window__k15__middle__offset+48,dense_local_window,15,500000000000048,18205684894351637
dense_local_window__k15__middle__offset+49,dense_local_window,15,500000000000049,18205684894351649
dense_local_window__k15__middle__offset+50,dense_local_window,15,500000000000050,18205684894351687
dense_local_window__k15__middle__offset+51,dense_local_window,15,500000000000051,18205684894351693
dense_local_window__k15__middle__offset+52,dense_local_window,15,500000000000052,18205684894351769
dense_local_window__k15__middle__offset+53,dense_local_window,15,500000000000053,18205684894351781
dense_local_window__k15__middle__offset+54,dense_local_window,15,500000000000054,18205684894351789
dense_local_window__k15__middle__offset+55,dense_local_window,15,500000000000055,18205684894351817
dense_local_window__k15__middle__offset+56,dense_local_window,15,500000000000056,18205684894351921
dense_local_window__k15__middle__offset+57,dense_local_window,15,500000000000057,18205684894351937
dense_local_window__k15__middle__offset+58,dense_local_window,15,500000000000058,18205684894351957
dense_local_window__k15__middle__offset+59,dense_local_window,15,500000000000059,18205684894352101
dense_local_window__k15__middle__offset+60,dense_local_window,15,500000000000060,18205684894352107
dense_local_window__k15__middle__offset+61,dense_local_window,15,500000000000061,18205684894352161
dense_local_window__k15__middle__offset+62,dense_local_window,15,500000000000062,18205684894352167
dense_local_window__k15__middle__offset+63,dense_local_window,15,500000000000063,18205684894352183
dense_local_window__k15__middle__offset+64,dense_local_window,15,500000000000064,18205684894352213
dense_local_window__k15__middle__offset+65,dense_local_window,15,500000000000065,18205684894352231
dense_local_window__k15__middle__offset+66,dense_local_window,15,500000000000066,18205684894352237
dense_local_window__k15__middle__offset+67,dense_local_window,15,500000000000067,18205684894352299
dense_local_window__k15__middle__offset+68,dense_local_window,15,500000000000068,18205684894352353
dense_local_window__k15__middle__offset+69,dense_local_window,15,500000000000069,18205684894352419
dense_local_window__k15__middle__offset+70,dense_local_window,15,500000000000070,18205684894352441
dense_local_window__k15__middle__offset+71,dense_local_window,15,500000000000071,18205684894352477
dense_local_window__k15__middle__offset+72,dense_local_window,15,500000000000072,18205684894352533
dense_local_window__k15__middle__offset+73,dense_local_window,15,500000000000073,18205684894352561
dense_local_window__k15__middle__offset+74,dense_local_window,15,500000000000074,18205684894352581
dense_local_window__k15__middle__offset+75,dense_local_window,15,500000000000075,18205684894352587
dense_local_window__k15__middle__offset+76,dense_local_window,15,500000000000076,18205684894352609
dense_local_window__k15__middle__offset+77,dense_local_window,15,500000000000077,18205684894352647
dense_local_window__k15__middle__offset+78,dense_local_window,15,500000000000078,18205684894352677
dense_local_window__k15__middle__offset+79,dense_local_window,15,500000000000079,18205684894352699
dense_local_window__k15__middle__offset+80,dense_local_window,15,500000000000080,18205684894352759
dense_local_window__k15__middle__offset+81,dense_local_window,15,500000000000081,18205684894352803
dense_local_window__k15__middle__offset+82,dense_local_window,15,500000000000082,18205684894352861
dense_local_window__k15__middle__offset+83,dense_local_window,15,500000000000083,18205684894352939
dense_local_window__k15__middle__offset+84,dense_local_window,15,500000000000084,18205684894352951
dense_local_window__k15__middle__offset+85,dense_local_window,15,500000000000085,18205684894352953
dense_local_window__k15__middle__offset+86,dense_local_window,15,500000000000086,18205684894352971
dense_local_window__k15__middle__offset+87,dense_local_window,15,500000000000087,18205684894352987
dense_local_window__k15__middle__offset+88,dense_local_window,15,500000000000088,18205684894353031
dense_local_window__k15__middle__offset+89,dense_local_window,15,500000000000089,18205684894353149
