row_id,family,decade_exponent,n,p_n
dense_local_window__k17__middle__offset+0,dense_local_window,17,50000000000000000,2056949323753784567
dense_local_window__k17__middle__offset+1,dense_local_window,17,50000000000000001,2056949323753784627
dense_local_window__k17__middle__offset+2,dense_local_window,17,50000000000000002,2056949323753784627
dense_local_window__k17__middle__offset+3,dense_local_window,17,50000000000000003,2056949323753784731
dense_local_window__k17__middle__offset+4,dense_local_window,17,50000000000000004,2056949323753784731
dense_local_window__k17__middle__offset+5,dense_local_window,17,50000000000000005,2056949323753784839
dense_local_window__k17__middle__offset+6,dense_local_window,17,50000000000000006,2056949323753784839
dense_local_window__k17__middle__offset+7,dense_local_window,17,50000000000000007,2056949323753784839
dense_local_window__k17__middle__offset+8,dense_local_window,17,50000000000000008,2056949323753784897
dense_local_window__k17__middle__offset+9,dense_local_window,17,50000000000000009,2056949323753784909
dense_local_window__k17__middle__offset+10,dense_local_window,17,50000000000000010,2056949323753784951
dense_local_window__k17__middle__offset+11,dense_local_window,17,50000000000000011,2056949323753785001
dense_local_window__k17__middle__offset+12,dense_local_window,17,50000000000000012,2056949323753785047
dense_local_window__k17__middle__offset+13,dense_local_window,17,50000000000000013,2056949323753785101
dense_local_window__k17__middle__offset+14,dense_local_window,17,50000000000000014,2056949323753785127
dense_local_window__k17__middle__offset+15,dense_local_window,17,50000000000000015,2056949323753785247
dense_local_window__k17__middle__offset+16,dense_local_window,17,50000000000000016,2056949323753785247
dense_local_window__k17__middle__offset+17,dense_local_window,17,50000000000000017,2056949323753785247
dense_local_window__k17__middle__offset+18,dense_local_window,17,50000000000000018,2056949323753785301
dense_local_window__k17__middle__offset+19,dense_local_window,17,50000000000000019,2056949323753785337
dense_local_window__k17__middle__offset+20,dense_local_window,17,50000000000000020,2056949323753785413
dense_local_window__k17__middle__offset+21,dense_local_window,17,50000000000000021,2056949323753785413
dense_local_window__k17__middle__offset+22,dense_local_window,17,50000000000000022,2056949323753785467
dense_local_window__k17__middle__offset+23,dense_local_window,17,50000000000000023,2056949323753785511
dense_local_window__k17__middle__offset+24,dense_local_window,17,50000000000000024,2056949323753785701
dense_local_window__k17__middle__offset+25,dense_local_window,17,50000000000000025,2056949323753785701
dense_local_window__k17__middle__offset+26,dense_local_window,17,50000000000000026,2056949323753785701
dense_local_window__k17__middle__offset+27,dense_local_window,17,50000000000000027,2056949323753785701
dense_local_window__k17__middle__offset+28,dense_local_window,17,50000000000000028,2056949323753785737
dense_local_window__k17__middle__offset+29,dense_local_window,17,50000000000000029,2056949323753785793
dense_local_window__k17__middle__offset+30,dense_local_window,17,50000000000000030,2056949323753785793
dense_local_window__k17__middle__offset+31,dense_local_window,17,50000000000000031,2056949323753785863
dense_local_window__k17__middle__offset+32,dense_local_window,17,50000000000000032,2056949323753785889
dense_local_window__k17__middle__offset+33,dense_local_window,17,50000000000000033,2056949323753786013
dense_local_window__k17__middle__offset+34,dense_local_window,17,50000000000000034,2056949323753786013
dense_local_window__k17__middle__offset+35,dense_local_window,17,50000000000000035,2056949323753786013
dense_local_window__k17__middle__offset+36,dense_local_window,17,50000000000000036,2056949323753786061
dense_local_window__k17__middle__offset+37,dense_local_window,17,50000000000000037,2056949323753786157
dense_local_window__k17__middle__offset+38,dense_local_window,17,50000000000000038,2056949323753786157
dense_local_window__k17__middle__offset+39,dense_local_window,17,50000000000000039,2056949323753786193
dense_local_window__k17__middle__offset+40,dense_local_window,17,50000000000000040,2056949323753786243
dense_local_window__k17__middle__offset+41,dense_local_window,17,50000000000000041,2056949323753786283
dense_local_window__k17__middle__offset+42,dense_local_window,17,50000000000000042,2056949323753786327
dense_local_window__k17__middle__offset+43,dense_local_window,17,50000000000000043,2056949323753786351
dense_local_window__k17__middle__offset+44,dense_local_window,17,50000000000000044,2056949323753786393
dense_local_window__k17__middle__offset+45,dense_local_window,17,50000000000000045,2056949323753786457
dense_local_window__k17__middle__offset+46,dense_local_window,17,50000000000000046,2056949323753786489
dense_local_window__k17__middle__offset+47,dense_local_window,17,50000000000000047,2056949323753786523
dense_local_window__k17__middle__offset+48,dense_local_window,17,50000000000000048,2056949323753786729
dense_local_window__k17__middle__offset+49,dense_local_window,17,50000000000000049,2056949323753786729
dense_local_window__k17__middle__offset+50,dense_local_window,17,50000000000000050,2056949323753786729
dense_local_window__k17__middle__offset+51,dense_local_window,17,50000000000000051,2056949323753786729
dense_local_window__k17__middle__offset+52,dense_local_window,17,50000000000000052,2056949323753786729
dense_local_window__k17__middle__offset+53,dense_local_window,17,50000000000000053,2056949323753786897
dense_local_window__k17__middle__offset+54,dense_local_window,17,50000000000000054,2056949323753786897
dense_local_window__k17__middle__offset+55,dense_local_window,17,50000000000000055,2056949323753786897
dense_local_window__k17__middle__offset+56,dense_local_window,17,50000000000000056,2056949323753786897
dense_local_window__k17__middle__offset+57,dense_local_window,17,50000000000000057,2056949323753786981
dense_local_window__k17__middle__offset+58,dense_local_window,17,50000000000000058,2056949323753786981
dense_local_window__k17__middle__offset+59,dense_local_window,17,50000000000000059,2056949323753787081
dense_local_window__k17__middle__offset+60,dense_local_window,17,50000000000000060,2056949323753787081
dense_local_window__k17__middle__offset+61,dense_local_window,17,50000000000000061,2056949323753787117
dense_local_window__k17__middle__offset+62,dense_local_window,17,50000000000000062,2056949323753787147
dense_local_window__k17__middle__offset+63,dense_local_window,17,50000000000000063,2056949323753787189
dense_local_window__k17__middle__offset+64,dense_local_window,17,50000000000000064,2056949323753787237
dense_local_window__k17__middle__offset+65,dense_local_window,17,50000000000000065,2056949323753787291
dense_local_window__k17__middle__offset+66,dense_local_window,17,50000000000000066,2056949323753787311
dense_local_window__k17__middle__offset+67,dense_local_window,17,50000000000000067,2056949323753787377
dense_local_window__k17__middle__offset+68,dense_local_window,17,50000000000000068,2056949323753787399
dense_local_window__k17__middle__offset+69,dense_local_window,17,50000000000000069,2056949323753787539
dense_local_window__k17__middle__offset+70,dense_local_window,17,50000000000000070,2056949323753787539
dense_local_window__k17__middle__offset+71,dense_local_window,17,50000000000000071,2056949323753787539
dense_local_window__k17__middle__offset+72,dense_local_window,17,50000000000000072,2056949323753787581
dense_local_window__k17__middle__offset+73,dense_local_window,17,50000000000000073,2056949323753787669
dense_local_window__k17__middle__offset+74,dense_local_window,17,50000000000000074,2056949323753787669
dense_local_window__k17__middle__offset+75,dense_local_window,17,50000000000000075,2056949323753787713
dense_local_window__k17__middle__offset+76,dense_local_window,17,50000000000000076,2056949323753787737
dense_local_window__k17__middle__offset+77,dense_local_window,17,50000000000000077,2056949323753787783
dense_local_window__k17__middle__offset+78,dense_local_window,17,50000000000000078,2056949323753787833
dense_local_window__k17__middle__offset+79,dense_local_window,17,50000000000000079,2056949323753787861
dense_local_window__k17__middle__offset+80,dense_local_window,17,50000000000000080,2056949323753787909
dense_local_window__k17__middle__offset+81,dense_local_window,17,50000000000000081,2056949323753787989
dense_local_window__k17__middle__offset+82,dense_local_window,17,50000000000000082,2056949323753787989
dense_local_window__k17__middle__offset+83,dense_local_window,17,50000000000000083,2056949323753788073
dense_local_window__k17__middle__offset+84,dense_local_window,17,50000000000000084,2056949323753788073
dense_local_window__k17__middle__offset+85,dense_local_window,17,50000000000000085,2056949323753788193
dense_local_window__k17__middle__offset+86,dense_local_window,17,50000000000000086,2056949323753788193
dense_local_window__k17__middle__offset+87,dense_local_window,17,50000000000000087,2056949323753788197
dense_local_window__k17__middle__offset+88,dense_local_window,17,50000000000000088,2056949323753788323
dense_local_window__k17__middle__offset+89,dense_local_window,17,50000000000000089,2056949323753788323
dense_local_window__k17__middle__offset+90,dense_local_window,17,50000000000000090,2056949323753788323
dense_local_window__k17__middle__offset+91,dense_local_window,17,50000000000000091,2056949323753788367
dense_local_window__k17__middle__offset+92,dense_local_window,17,50000000000000092,2056949323753788407
dense_local_window__k17__middle__offset+93,dense_local_window,17,50000000000000093,2056949323753788473
dense_local_window__k17__middle__offset+94,dense_local_window,17,50000000000000094,2056949323753788559
dense_local_window__k17__middle__offset+95,dense_local_window,17,50000000000000095,2056949323753788559
dense_local_window__k17__middle__offset+96,dense_local_window,17,50000000000000096,2056949323753788577
dense_local_window__k17__middle__offset+97,dense_local_window,17,50000000000000097,2056949323753788631
dense_local_window__k17__middle__offset+98,dense_local_window,17,50000000000000098,2056949323753788781
dense_local_window__k17__middle__offset+99,dense_local_window,17,50000000000000099,2056949323753788781
dense_local_window__k17__middle__offset+100,dense_local_window,17,50000000000000100,2056949323753788781
dense_local_window__k17__middle__offset+101,dense_local_window,17,50000000000000101,2056949323753788899
dense_local_window__k17__middle__offset+102,dense_local_window,17,50000000000000102,2056949323753788899
dense_local_window__k17__middle__offset+103,dense_local_window,17,50000000000000103,2056949323753788899
dense_local_window__k17__middle__offset+104,dense_local_window,17,50000000000000104,2056949323753789009
dense_local_window__k17__middle__offset+105,dense_local_window,17,50000000000000105,2056949323753789009
dense_local_window__k17__middle__offset+106,dense_local_window,17,50000000000000106,2056949323753789009
dense_local_window__k17__middle__offset+107,dense_local_window,17,50000000000000107,2056949323753789039
dense_local_window__k17__middle__offset+108,dense_local_window,17,50000000000000108,2056949323753789097
dense_local_window__k17__middle__offset+109,dense_local_window,17,50000000000000109,2056949323753789151
dense_local_window__k17__middle__offset+110,dense_local_window,17,50000000000000110,2056949323753789187
dense_local_window__k17__middle__offset+111,dense_local_window,17,50000000000000111,2056949323753789261
dense_local_window__k17__middle__offset+112,dense_local_window,17,50000000000000112,2056949323753789261
dense_local_window__k17__middle__offset+113,dense_local_window,17,50000000000000113,2056949323753789319
dense_local_window__k17__middle__offset+114,dense_local_window,17,50000000000000114,2056949323753789411
dense_local_window__k17__middle__offset+115,dense_local_window,17,50000000000000115,2056949323753789411
dense_local_window__k17__middle__offset+116,dense_local_window,17,50000000000000116,2056949323753789429
dense_local_window__k17__middle__offset+117,dense_local_window,17,50000000000000117,2056949323753789651
dense_local_window__k17__middle__offset+118,dense_local_window,17,50000000000000118,2056949323753789651
dense_local_window__k17__middle__offset+119,dense_local_window,17,50000000000000119,2056949323753789651
dense_local_window__k17__middle__offset+120,dense_local_window,17,50000000000000120,2056949323753789651
dense_local_window__k17__middle__offset+121,dense_local_window,17,50000000000000121,2056949323753789651
dense_local_window__k17__middle__offset+122,dense_local_window,17,50000000000000122,2056949323753789697
dense_local_window__k17__middle__offset+123,dense_local_window,17,50000000000000123,2056949323753789747
dense_local_window__k17__middle__offset+124,dense_local_window,17,50000000000000124,2056949323753789769
dense_local_window__k17__middle__offset+125,dense_local_window,17,50000000000000125,2056949323753789811
dense_local_window__k17__middle__offset+126,dense_local_window,17,50000000000000126,2056949323753789879
dense_local_window__k17__middle__offset+127,dense_local_window,17,50000000000000127,2056949323753789903
dense_local_window__k17__middle__offset+128,dense_local_window,17,50000000000000128,2056949323753789951
dense_local_window__k17__middle__offset+129,dense_local_window,17,50000000000000129,2056949323753790099
dense_local_window__k17__middle__offset+130,dense_local_window,17,50000000000000130,2056949323753790099
dense_local_window__k17__middle__offset+131,dense_local_window,17,50000000000000131,2056949323753790099
dense_local_window__k17__middle__offset+132,dense_local_window,17,50000000000000132,2056949323753790099
dense_local_window__k17__middle__offset+133,dense_local_window,17,50000000000000133,2056949323753790159
dense_local_window__k17__middle__offset+134,dense_local_window,17,50000000000000134,2056949323753790177
dense_local_window__k17__middle__offset+135,dense_local_window,17,50000000000000135,2056949323753790341
dense_local_window__k17__middle__offset+136,dense_local_window,17,50000000000000136,2056949323753790341
dense_local_window__k17__middle__offset+137,dense_local_window,17,50000000000000137,2056949323753790341
dense_local_window__k17__middle__offset+138,dense_local_window,17,50000000000000138,2056949323753790423
dense_local_window__k17__middle__offset+139,dense_local_window,17,50000000000000139,2056949323753790423
dense_local_window__k17__middle__offset+140,dense_local_window,17,50000000000000140,2056949323753790437
dense_local_window__k17__middle__offset+141,dense_local_window,17,50000000000000141,2056949323753790513
dense_local_window__k17__middle__offset+142,dense_local_window,17,50000000000000142,2056949323753790513
dense_local_window__k17__middle__offset+143,dense_local_window,17,50000000000000143,2056949323753790579
dense_local_window__k17__middle__offset+144,dense_local_window,17,50000000000000144,2056949323753790639
dense_local_window__k17__middle__offset+145,dense_local_window,17,50000000000000145,2056949323753790639
dense_local_window__k17__middle__offset+146,dense_local_window,17,50000000000000146,2056949323753790701
dense_local_window__k17__middle__offset+147,dense_local_window,17,50000000000000147,2056949323753790723
dense_local_window__k17__middle__offset+148,dense_local_window,17,50000000000000148,2056949323753790801
dense_local_window__k17__middle__offset+149,dense_local_window,17,50000000000000149,2056949323753790849
dense_local_window__k17__middle__offset+150,dense_local_window,17,50000000000000150,2056949323753790887
dense_local_window__k17__middle__offset+151,dense_local_window,17,50000000000000151,2056949323753790899
dense_local_window__k17__middle__offset+152,dense_local_window,17,50000000000000152,2056949323753790941
dense_local_window__k17__middle__offset+153,dense_local_window,17,50000000000000153,2056949323753790989
dense_local_window__k17__middle__offset+154,dense_local_window,17,50000000000000154,2056949323753791023
dense_local_window__k17__middle__offset+155,dense_local_window,17,50000000000000155,2056949323753791109
dense_local_window__k17__middle__offset+156,dense_local_window,17,50000000000000156,2056949323753791109
dense_local_window__k17__middle__offset+157,dense_local_window,17,50000000000000157,2056949323753791157
dense_local_window__k17__middle__offset+158,dense_local_window,17,50000000000000158,2056949323753791223
dense_local_window__k17__middle__offset+159,dense_local_window,17,50000000000000159,2056949323753791289
dense_local_window__k17__middle__offset+160,dense_local_window,17,50000000000000160,2056949323753791289
dense_local_window__k17__middle__offset+161,dense_local_window,17,50000000000000161,2056949323753791343
dense_local_window__k17__middle__offset+162,dense_local_window,17,50000000000000162,2056949323753791361
dense_local_window__k17__middle__offset+163,dense_local_window,17,50000000000000163,2056949323753791443
dense_local_window__k17__middle__offset+164,dense_local_window,17,50000000000000164,2056949323753791443
dense_local_window__k17__middle__offset+165,dense_local_window,17,50000000000000165,2056949323753791581
dense_local_window__k17__middle__offset+166,dense_local_window,17,50000000000000166,2056949323753791581
dense_local_window__k17__middle__offset+167,dense_local_window,17,50000000000000167,2056949323753791581
dense_local_window__k17__middle__offset+168,dense_local_window,17,50000000000000168,2056949323753791787
dense_local_window__k17__middle__offset+169,dense_local_window,17,50000000000000169,2056949323753791787
dense_local_window__k17__middle__offset+170,dense_local_window,17,50000000000000170,2056949323753791787
dense_local_window__k17__middle__offset+171,dense_local_window,17,50000000000000171,2056949323753791787
dense_local_window__k17__middle__offset+172,dense_local_window,17,50000000000000172,2056949323753791787
dense_local_window__k17__middle__offset+173,dense_local_window,17,50000000000000173,2056949323753791823
dense_local_window__k17__middle__offset+174,dense_local_window,17,50000000000000174,2056949323753791923
dense_local_window__k17__middle__offset+175,dense_local_window,17,50000000000000175,2056949323753791923
dense_local_window__k17__middle__offset+176,dense_local_window,17,50000000000000176,2056949323753792007
