dataset,variant,label,max_rel_ppm,mean_rel_ppm,median_rel_ppm
published_exact_grid_ge_1e4,neg_L_over_e4,-L/e^4,6788.950529461753,567.3078058388697,2.4516192955274403
published_exact_grid_ge_1e4,neg_B_over_e4,-B/e^4,7275.921664486436,613.557624937998,2.7561902124116098
published_exact_grid_ge_1e4,neg_LL_over_e2,-ll/e^2,9586.647442446696,781.5839570842423,1.656773455112656
published_exact_grid_ge_1e4,neg_LL_sq_over_e4,-ll^2/e^4,5127.519598201072,392.7669008037819,0.38705388441049077
published_exact_grid_ge_1e4,order5,order5,4163.125781779641,276.1305428386722,0.009348944910735353
published_exact_grid_ge_1e4,li_inverse_seed,li_inverse,4382.740215222145,290.04774528902516,0.017580660463412785
reproducible_exact_stage_a,neg_L_over_e4,-L/e^4,7.547035166837158,4.583582990305557,3.2146447330116077
reproducible_exact_stage_a,neg_B_over_e4,-B/e^4,8.367286629626621,5.104603471981671,3.597761055846153
reproducible_exact_stage_a,neg_LL_over_e2,-ll/e^2,6.091698966478738,3.4910897443428324,2.2879359355041426
reproducible_exact_stage_a,neg_LL_sq_over_e4,-ll^2/e^4,1.5046377599680059,0.6172704530938383,0.24499871914083193
reproducible_exact_stage_a,order5,order5,0.07093320229768886,0.028552397622976834,0.01270962130574714
reproducible_exact_stage_a,li_inverse_seed,li_inverse,0.08932814868000499,0.04108403329755319,0.02116578740696154
reproducible_exact_stage_b,neg_L_over_e4,-L/e^4,1.2373937035427918,0.6338206144187953,0.35476285433614985
reproducible_exact_stage_b,neg_B_over_e4,-B/e^4,1.4161036644629048,0.7471631964524867,0.43803861935714783
reproducible_exact_stage_b,neg_LL_over_e2,-ll/e^2,0.6927376809035921,0.2821530294261684,0.14417522788949128
reproducible_exact_stage_b,neg_LL_sq_over_e4,-ll^2/e^4,0.38738705643239935,0.3412664230713657,0.3764597772754683
reproducible_exact_stage_b,order5,order5,0.005033287433654644,0.0016410707136193955,0.0008106992805855349
reproducible_exact_stage_b,li_inverse_seed,li_inverse,0.010552676381827312,0.00470550625775374,0.0026842304539686354
